"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0603_1608Metric";1;"100 nF";;;
2;"C2";"C_0805_2012Metric";1;"10 μF";;;
3;"D1";"D_SMA";1;"SS14";;;
4;"D2";"LED_0805_2012Metric";1;"LED";;;
5;"J1, J2, J3";"PinHeader_1x02_P2.54mm_Vertical";3;"Conn_01x02";;;
6;"Q1";"SOT-23";1;"AO3400A";;;
7;"R1";"R_0603_1608Metric";1;"47Ω";;;
8;"R2";"R_0603_1608Metric";1;"100 kΩ";;;
9;"R3";"R_0603_1608Metric";1;"3.3 kΩ";;;
10;"TP1, TP2";"TestPoint_Pad_D1.0mm";2;"TestPoint";;;
